order_id,order_date,region,product_category,customer_segment,quantity,revenue,discount
1,2026-01-05,East,Burgers,Student,2,24.50,0
2,2026-01-06,West,Drinks,Worker,1,5.99,0
3,2026-01-07,East,Sides,Student,3,12.75,0.1
4,2026-02-01,North,Burgers,Family,4,49.00,0.05
5,2026-02-03,West,Burgers,Worker,2,25.50,0
6,2026-02-04,South,Drinks,Student,2,11.98,0
7,2026-03-01,East,Sides,Family,1,4.25,0
8,2026-03-04,North,Burgers,Worker,5,61.25,0.15
9,2026-03-07,South,Drinks,Student,2,11.98,0
10,2026-03-09,West,Burgers,Family,3,37.50,0.05
